CVE_INEGI,CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,Tarifa,Consumo 2010,Consumo 2011,Consumo 2012,Consumo 2013,Consumo 2014,Consumo 2015,Consumo 2016,Usuarios 2010,Usuarios 2011,Usuarios 2012,Usuarios 2013,Usuarios 2014,Usuarios 2015,Usuarios 2016
20337.0,20,337,Oaxaca                                            ,San Pedro y San Pablo Ayutla                      ,1,869583.0,992588.0,980816.0,1063297.0,1124645.0,1132532.0,1108322.0,1341.0,1465.0,1571.0,1676.0,1786.0,1853.0,1889.0
20337.0,20,337,Oaxaca                                            ,San Pedro y San Pablo Ayutla                      ,DAC,5136.0,2878.0,5334.0,5946.0,4092.0,11001.0,21956.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
20338.0,20,338,Oaxaca                                            ,Villa de Etla                                     ,1,3425617.0,3407245.0,3237873.0,3389518.0,3359327.0,3377349.0,3306579.0,3177.0,3088.0,3178.0,3278.0,3380.0,3364.0,3481.0
20338.0,20,338,Oaxaca                                            ,Villa de Etla                                     ,DAC,139911.0,116056.0,93916.0,89639.0,100788.0,115908.0,97879.0,27.0,25.0,24.0,24.0,24.0,25.0,26.0
20339.0,20,339,Oaxaca                                            ,San Pedro y San Pablo Teposcolula                 ,1,906526.0,1049709.0,1076926.0,1092919.0,1135259.0,1061613.0,1099138.0,1594.0,1642.0,1680.0,1702.0,1729.0,1793.0,1827.0
20339.0,20,339,Oaxaca                                            ,San Pedro y San Pablo Teposcolula                 ,DAC,15907.0,9350.0,13072.0,10483.0,21989.0,24470.0,24165.0,2.0,5.0,4.0,4.0,6.0,9.0,7.0
20340.0,20,340,Oaxaca                                            ,San Pedro y San Pablo Tequixtepec                 ,1,454714.0,391337.0,395689.0,383495.0,392614.0,453349.0,475218.0,874.0,884.0,919.0,919.0,950.0,1204.0,1119.0
20340.0,20,340,Oaxaca                                            ,San Pedro y San Pablo Tequixtepec                 ,DAC,1484.0,4006.0,1339.0,1324.0,0.0,5130.0,3879.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
20341.0,20,341,Oaxaca                                            ,San Pedro Yucunama                                ,1,46704.0,64070.0,56056.0,55071.0,53927.0,52142.0,54239.0,137.0,142.0,141.0,144.0,146.0,146.0,148.0
20341.0,20,341,Oaxaca                                            ,San Pedro Yucunama                                ,DAC,0.0,0.0,3443.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20342.0,20,342,Oaxaca                                            ,San Raymundo Jalpan                               ,1,487478.0,614233.0,719933.0,800328.0,830929.0,843806.0,886834.0,553.0,920.0,1012.0,1049.0,1097.0,1122.0,1153.0
20342.0,20,342,Oaxaca                                            ,San Raymundo Jalpan                               ,DAC,11568.0,14580.0,26994.0,22820.0,25397.0,37684.0,31113.0,3.0,3.0,7.0,7.0,6.0,10.0,7.0
20343.0,20,343,Oaxaca                                            ,San Sebastian Abasolo                             ,1,443341.0,481632.0,488840.0,512421.0,517979.0,489904.0,487308.0,587.0,607.0,632.0,653.0,665.0,680.0,693.0
20343.0,20,343,Oaxaca                                            ,San Sebastian Abasolo                             ,DAC,1164.0,935.0,0.0,0.0,5336.0,6925.0,11892.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0
20344.0,20,344,Oaxaca                                            ,San Sebastian Coatlan                             ,1,249448.0,205111.0,245219.0,253799.0,302092.0,343304.0,318204.0,680.0,689.0,710.0,712.0,732.0,768.0,787.0
20344.0,20,344,Oaxaca                                            ,San Sebastian Coatlan                             ,DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20345.0,20,345,Oaxaca                                            ,San Sebastian Ixcapa                              ,1B,1217546.0,1277127.0,1297699.0,1445733.0,1489646.0,1541475.0,1532370.0,1067.0,1107.0,1264.0,1304.0,1338.0,1356.0,1300.0
20345.0,20,345,Oaxaca                                            ,San Sebastian Ixcapa                              ,DAC,4118.0,0.0,2948.0,1505.0,2419.0,2523.0,3289.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
